Time	Displacement	Forcewasher	Camera A	Camera B
sec	inches	lbf	mm	mm
3.7200E-3	 2.085E+0	 0.000E+0	-3.066E-1	-2.246E-1
3.7400E-3	 2.085E+0	 4.883E-1	-3.086E-1	-2.227E-1
3.7600E-3	 2.085E+0	 0.000E+0	-3.145E-1	-2.139E-1
3.7800E-3	 2.085E+0	-4.883E-1	-3.076E-1	-2.217E-1
3.8000E-3	 2.085E+0	 0.000E+0	-3.145E-1	-2.187E-1
3.8200E-3	 2.085E+0	 0.000E+0	-3.096E-1	-2.178E-1
3.8400E-3	 2.085E+0	 4.883E-1	-3.145E-1	-2.207E-1
3.8600E-3	 2.090E+0	 0.000E+0	-3.135E-1	-2.187E-1
3.8800E-3	 2.090E+0	 0.000E+0	-3.057E-1	-2.227E-1
3.9000E-3	 2.090E+0	 0.000E+0	-3.096E-1	-2.256E-1
3.9200E-3	 2.095E+0	 0.000E+0	-3.145E-1	-2.217E-1
3.9400E-3	 2.095E+0	 0.000E+0	-3.154E-1	-2.187E-1
3.9600E-3	 2.095E+0	 0.000E+0	-3.086E-1	-2.207E-1
3.9800E-3	 2.090E+0	 0.000E+0	-3.047E-1	-2.275E-1
4.0000E-3	 2.095E+0	 0.000E+0	-3.096E-1	-2.197E-1
4.0200E-3	 2.095E+0	 0.000E+0	-3.154E-1	-2.187E-1
4.0400E-3	 2.095E+0	 4.883E-1	-3.154E-1	-2.197E-1
4.0600E-3	 2.100E+0	 0.000E+0	-3.105E-1	-2.178E-1
4.0800E-3	 2.100E+0	 0.000E+0	-3.115E-1	-2.217E-1
4.1000E-3	 2.100E+0	 0.000E+0	-3.174E-1	-2.178E-1
4.1200E-3	 2.100E+0	 0.000E+0	-3.184E-1	-2.158E-1
4.1400E-3	 2.100E+0	 0.000E+0	-3.135E-1	-2.178E-1
4.1600E-3	 2.100E+0	 0.000E+0	-3.115E-1	-2.148E-1
4.1800E-3	 2.104E+0	-4.883E-1	-3.096E-1	-2.246E-1
4.2000E-3	 2.104E+0	-4.883E-1	-3.203E-1	-2.187E-1
4.2200E-3	 2.104E+0	 0.000E+0	-3.135E-1	-2.217E-1
4.2400E-3	 2.104E+0	 0.000E+0	-3.174E-1	-2.129E-1
4.2600E-3	 2.104E+0	 0.000E+0	-3.154E-1	-2.197E-1
4.2800E-3	 2.104E+0	-4.883E-1	-3.135E-1	-2.236E-1
4.3000E-3	 2.109E+0	 0.000E+0	-3.154E-1	-2.207E-1
4.3200E-3	 2.109E+0	 0.000E+0	-3.125E-1	-2.178E-1
4.3400E-3	 2.109E+0	 0.000E+0	-3.105E-1	-2.207E-1
4.3600E-3	 2.109E+0	 0.000E+0	-3.145E-1	-2.158E-1
4.3800E-3	 2.109E+0	 0.000E+0	-3.096E-1	-2.236E-1
4.4000E-3	 2.109E+0	-4.883E-1	-3.135E-1	-2.119E-1
4.4200E-3	 2.114E+0	 4.883E-1	-3.145E-1	-2.256E-1
4.4400E-3	 2.109E+0	 4.883E-1	-3.193E-1	-2.217E-1
4.4600E-3	 2.114E+0	 0.000E+0	-3.135E-1	-2.246E-1
4.4800E-3	 2.114E+0	 0.000E+0	-3.135E-1	-2.168E-1
4.5000E-3	 2.119E+0	-4.883E-1	-3.174E-1	-2.178E-1
4.5200E-3	 2.114E+0	 4.883E-1	-3.232E-1	-2.129E-1
4.5400E-3	 2.114E+0	 0.000E+0	-3.145E-1	-2.207E-1
4.5600E-3	 2.114E+0	 0.000E+0	-3.125E-1	-2.178E-1
4.5800E-3	 2.119E+0	 0.000E+0	-3.076E-1	-2.266E-1
4.6000E-3	 2.119E+0	 0.000E+0	-3.164E-1	-2.227E-1
4.6200E-3	 2.119E+0	 4.883E-1	-3.125E-1	-2.217E-1
4.6400E-3	 2.119E+0	 4.883E-1	-3.174E-1	-2.217E-1
4.6600E-3	 2.119E+0	 0.000E+0	-3.154E-1	-2.139E-1
4.6800E-3	 2.124E+0	 0.000E+0	-3.184E-1	-2.197E-1
4.7000E-3	 2.124E+0	-4.883E-1	-3.115E-1	-2.217E-1
4.7200E-3	 2.124E+0	 0.000E+0	-3.184E-1	-2.178E-1
4.7400E-3	 2.124E+0	 0.000E+0	-3.135E-1	-2.275E-1
4.7600E-3	 2.124E+0	 0.000E+0	-3.125E-1	-2.275E-1
4.7800E-3	 2.124E+0	 0.000E+0	-3.115E-1	-2.227E-1
4.8000E-3	 2.124E+0	 0.000E+0	-3.125E-1	-2.197E-1
4.8200E-3	 2.129E+0	 4.883E-1	-3.125E-1	-2.197E-1
4.8400E-3	 2.124E+0	 0.000E+0	-3.174E-1	-2.178E-1
4.8600E-3	 2.129E+0	 0.000E+0	-3.145E-1	-2.207E-1
4.8800E-3	 2.129E+0	 0.000E+0	-3.184E-1	-2.178E-1
4.9000E-3	 2.129E+0	-4.883E-1	-3.145E-1	-2.217E-1
4.9200E-3	 2.129E+0	 4.883E-1	-3.125E-1	-2.187E-1
4.9400E-3	 2.129E+0	 0.000E+0	-3.164E-1	-2.236E-1
4.9600E-3	 2.134E+0	 0.000E+0	-3.086E-1	-2.236E-1
4.9800E-3	 2.134E+0	 0.000E+0	-3.076E-1	-2.246E-1
5.0000E-3	 2.134E+0	-4.883E-1	-3.115E-1	-2.217E-1
5.0200E-3	 2.134E+0	 0.000E+0	-3.096E-1	-2.227E-1
5.0400E-3	 2.134E+0	 0.000E+0	-3.154E-1	-2.285E-1
5.0600E-3	 2.134E+0	 0.000E+0	-3.164E-1	-2.246E-1
5.0800E-3	 2.139E+0	 0.000E+0	-3.145E-1	-2.187E-1
5.1000E-3	 2.139E+0	 0.000E+0	-3.105E-1	-2.217E-1
5.1200E-3	 2.139E+0	 4.883E-1	-3.145E-1	-2.158E-1
5.1400E-3	 2.139E+0	 4.883E-1	-3.135E-1	-2.246E-1
5.1600E-3	 2.139E+0	 0.000E+0	-3.145E-1	-2.266E-1
5.1800E-3	 2.144E+0	 0.000E+0	-3.184E-1	-2.197E-1
5.2000E-3	 2.144E+0	 0.000E+0	-3.145E-1	-2.217E-1
5.2200E-3	 2.139E+0	 4.883E-1	-3.174E-1	-2.217E-1
5.2400E-3	 2.144E+0	 0.000E+0	-3.193E-1	-2.178E-1
5.2600E-3	 2.144E+0	 0.000E+0	-3.145E-1	-2.227E-1
5.2800E-3	 2.144E+0	-4.883E-1	-3.174E-1	-2.178E-1
5.3000E-3	 2.144E+0	 0.000E+0	-3.164E-1	-2.236E-1
5.3200E-3	 2.144E+0	 4.883E-1	-3.184E-1	-2.275E-1
5.3400E-3	 2.148E+0	 0.000E+0	-3.203E-1	-2.197E-1
5.3600E-3	 2.148E+0	 0.000E+0	-3.203E-1	-2.217E-1
5.3800E-3	 2.148E+0	 0.000E+0	-3.145E-1	-2.256E-1
5.4000E-3	 2.153E+0	 0.000E+0	-3.135E-1	-2.217E-1
5.4200E-3	 2.148E+0	 0.000E+0	-3.184E-1	-2.129E-1
5.4400E-3	 2.148E+0	 0.000E+0	-3.184E-1	-2.266E-1
5.4600E-3	 2.153E+0	 0.000E+0	-3.135E-1	-2.246E-1
5.4800E-3	 2.153E+0	 0.000E+0	-3.184E-1	-2.178E-1
5.5000E-3	 2.153E+0	 0.000E+0	-3.164E-1	-2.217E-1
5.5200E-3	 2.153E+0	 0.000E+0	-3.145E-1	-2.236E-1
5.5400E-3	 2.153E+0	 4.883E-1	-3.174E-1	-2.236E-1
5.5600E-3	 2.158E+0	 4.883E-1	-3.154E-1	-2.148E-1
5.5800E-3	 2.158E+0	-4.883E-1	-3.213E-1	-2.178E-1
5.6000E-3	 2.158E+0	-4.883E-1	-3.193E-1	-2.197E-1
5.6200E-3	 2.153E+0	 4.883E-1	-3.174E-1	-2.178E-1
5.6400E-3	 2.158E+0	 0.000E+0	-3.154E-1	-2.197E-1
5.6600E-3	 2.163E+0	 0.000E+0	-3.193E-1	-2.207E-1
5.6800E-3	 2.163E+0	-4.883E-1	-3.203E-1	-2.217E-1
5.7000E-3	 2.163E+0	 0.000E+0	-3.174E-1	-2.236E-1
5.7200E-3	 2.163E+0	 0.000E+0	-3.193E-1	-2.227E-1
5.7400E-3	 2.163E+0	 0.000E+0	-3.125E-1	-2.275E-1
5.7600E-3	 2.168E+0	-4.883E-1	-3.184E-1	-2.227E-1
5.7800E-3	 2.168E+0	 0.000E+0	-3.242E-1	-2.197E-1
5.8000E-3	 2.168E+0	 0.000E+0	-3.164E-1	-2.129E-1
5.8200E-3	 2.168E+0	 4.883E-1	-3.213E-1	-2.168E-1
5.8400E-3	 2.168E+0	 0.000E+0	-3.174E-1	-2.197E-1
5.8600E-3	 2.168E+0	 0.000E+0	-3.174E-1	-2.256E-1
5.8800E-3	 2.168E+0	 0.000E+0	-3.115E-1	-2.227E-1
5.9000E-3	 2.168E+0	 0.000E+0	-3.164E-1	-2.207E-1
5.9200E-3	 2.168E+0	 0.000E+0	-3.213E-1	-2.158E-1
5.9400E-3	 2.168E+0	 0.000E+0	-3.174E-1	-2.236E-1
5.9600E-3	 2.173E+0	 0.000E+0	-3.154E-1	-2.178E-1
5.9800E-3	 2.173E+0	 0.000E+0	-3.193E-1	-2.168E-1
6.0000E-3	 2.173E+0	 0.000E+0	-3.145E-1	-2.227E-1
6.0200E-3	 2.173E+0	 4.883E-1	-3.164E-1	-2.275E-1
6.0400E-3	 2.178E+0	 0.000E+0	-3.105E-1	-2.295E-1
6.0600E-3	 2.178E+0	 0.000E+0	-3.145E-1	-2.285E-1
6.0800E-3	 2.178E+0	-4.883E-1	-3.135E-1	-2.227E-1
6.1000E-3	 2.178E+0	 0.000E+0	-3.193E-1	-2.256E-1
6.1200E-3	 2.178E+0	 4.883E-1	-3.203E-1	-2.217E-1
6.1400E-3	 2.183E+0	 0.000E+0	-3.135E-1	-2.217E-1
6.1600E-3	 2.183E+0	 0.000E+0	-3.184E-1	-2.246E-1
6.1800E-3	 2.183E+0	 0.000E+0	-3.135E-1	-2.236E-1
6.2000E-3	 2.183E+0	 0.000E+0	-3.164E-1	-2.266E-1
6.2200E-3	 2.183E+0	 4.883E-1	-3.184E-1	-2.227E-1
6.2400E-3	 2.183E+0	 0.000E+0	-3.213E-1	-2.168E-1
6.2600E-3	 2.183E+0	 0.000E+0	-3.135E-1	-2.266E-1
6.2800E-3	 2.187E+0	 0.000E+0	-3.145E-1	-2.275E-1
6.3000E-3	 2.187E+0	 4.883E-1	-3.174E-1	-2.207E-1
6.3200E-3	 2.187E+0	 4.883E-1	-3.154E-1	-2.227E-1
6.3400E-3	 2.187E+0	 0.000E+0	-3.105E-1	-2.266E-1
6.3600E-3	 2.187E+0	 0.000E+0	-3.154E-1	-2.187E-1
6.3800E-3	 2.187E+0	 0.000E+0	-3.213E-1	-2.197E-1
6.4000E-3	 2.187E+0	 0.000E+0	-3.145E-1	-2.236E-1
6.4200E-3	 2.192E+0	 0.000E+0	-3.154E-1	-2.275E-1
6.4400E-3	 2.192E+0	 0.000E+0	-3.184E-1	-2.295E-1
6.4600E-3	 2.192E+0	 0.000E+0	-3.174E-1	-2.207E-1
6.4800E-3	 2.192E+0	 0.000E+0	-3.262E-1	-2.168E-1
6.5000E-3	 2.192E+0	 0.000E+0	-3.145E-1	-2.266E-1
6.5200E-3	 2.192E+0	 0.000E+0	-3.193E-1	-2.256E-1
6.5400E-3	 2.192E+0	 0.000E+0	-3.135E-1	-2.246E-1
6.5600E-3	 2.197E+0	 0.000E+0	-3.164E-1	-2.197E-1
6.5800E-3	 2.197E+0	-4.883E-1	-3.193E-1	-2.256E-1
6.6000E-3	 2.197E+0	 0.000E+0	-3.164E-1	-2.207E-1
6.6200E-3	 2.197E+0	 4.883E-1	-3.164E-1	-2.217E-1
6.6400E-3	 2.202E+0	 0.000E+0	-3.223E-1	-2.256E-1
6.6600E-3	 2.202E+0	 0.000E+0	-3.213E-1	-2.187E-1
6.6800E-3	 2.202E+0	-4.883E-1	-3.164E-1	-2.227E-1
6.7000E-3	 2.202E+0	 4.883E-1	-3.164E-1	-2.227E-1
6.7200E-3	 2.202E+0	 0.000E+0	-3.154E-1	-2.256E-1
6.7400E-3	 2.202E+0	 0.000E+0	-3.154E-1	-2.246E-1
6.7600E-3	 2.207E+0	-4.883E-1	-3.125E-1	-2.324E-1
6.7800E-3	 2.202E+0	 0.000E+0	-3.184E-1	-2.217E-1
6.8000E-3	 2.202E+0	 4.883E-1	-3.145E-1	-2.246E-1
6.8200E-3	 2.207E+0	 0.000E+0	-3.193E-1	-2.187E-1
6.8400E-3	 2.207E+0	 0.000E+0	-3.184E-1	-2.207E-1
6.8600E-3	 2.207E+0	 0.000E+0	-3.154E-1	-2.266E-1
6.8800E-3	 2.207E+0	 0.000E+0	-3.154E-1	-2.256E-1
6.9000E-3	 2.207E+0	 4.883E-1	-3.135E-1	-2.227E-1
