Time	Displacement	Forcewasher
sec	inches	lbf
4.2400E-3	 2.095E+0	 0.000E+0
4.2600E-3	 2.095E+0	 0.000E+0
4.2800E-3	 2.095E+0	 0.000E+0
4.3000E-3	 2.095E+0	 4.883E-1
4.3200E-3	 2.095E+0	 4.883E-1
4.3400E-3	 2.095E+0	 0.000E+0
4.3600E-3	 2.100E+0	-4.883E-1
4.3800E-3	 2.100E+0	 0.000E+0
4.4000E-3	 2.100E+0	 4.883E-1
4.4200E-3	 2.100E+0	 0.000E+0
4.4400E-3	 2.100E+0	 0.000E+0
4.4600E-3	 2.100E+0	 0.000E+0
4.4800E-3	 2.104E+0	 4.883E-1
4.5000E-3	 2.100E+0	 4.883E-1
4.5200E-3	 2.104E+0	 0.000E+0
4.5400E-3	 2.104E+0	 0.000E+0
4.5600E-3	 2.104E+0	 0.000E+0
4.5800E-3	 2.104E+0	 0.000E+0
4.6000E-3	 2.104E+0	 4.883E-1
4.6200E-3	 2.109E+0	 0.000E+0
4.6400E-3	 2.109E+0	 0.000E+0
4.6600E-3	 2.109E+0	 4.883E-1
4.6800E-3	 2.109E+0	 0.000E+0
4.7000E-3	 2.109E+0	 4.883E-1
4.7200E-3	 2.109E+0	 4.883E-1
4.7400E-3	 2.109E+0	 0.000E+0
4.7600E-3	 2.114E+0	-4.883E-1
4.7800E-3	 2.114E+0	 4.883E-1
4.8000E-3	 2.114E+0	 4.883E-1
4.8200E-3	 2.114E+0	 4.883E-1
4.8400E-3	 2.119E+0	-4.883E-1
4.8600E-3	 2.119E+0	 0.000E+0
4.8800E-3	 2.119E+0	 4.883E-1
4.9000E-3	 2.119E+0	 4.883E-1
4.9200E-3	 2.119E+0	 0.000E+0
4.9400E-3	 2.124E+0	 0.000E+0
4.9600E-3	 2.119E+0	 4.883E-1
4.9800E-3	 2.119E+0	 9.766E-1
5.0000E-3	 2.119E+0	 4.883E-1
5.0200E-3	 2.124E+0	 0.000E+0
5.0400E-3	 2.124E+0	 0.000E+0
5.0600E-3	 2.124E+0	 4.883E-1
5.0800E-3	 2.124E+0	 0.000E+0
5.1000E-3	 2.124E+0	 4.883E-1
5.1200E-3	 2.124E+0	 0.000E+0
5.1400E-3	 2.129E+0	 4.883E-1
5.1600E-3	 2.129E+0	 0.000E+0
5.1800E-3	 2.129E+0	 0.000E+0
5.2000E-3	 2.129E+0	 0.000E+0
5.2200E-3	 2.129E+0	 4.883E-1
5.2400E-3	 2.134E+0	 0.000E+0
5.2600E-3	 2.134E+0	 0.000E+0
5.2800E-3	 2.134E+0	 4.883E-1
5.3000E-3	 2.134E+0	 4.883E-1
5.3200E-3	 2.134E+0	 0.000E+0
5.3400E-3	 2.134E+0	 0.000E+0
5.3600E-3	 2.134E+0	 0.000E+0
5.3800E-3	 2.134E+0	 4.883E-1
5.4000E-3	 2.139E+0	 4.883E-1
